Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
24-January-2022,37.20,37.30,35.05,35.45,35.869760973776441189,1455447,9098,52206536.00,515162,35.40,2.25,-1.75
21-January-2022,37.35,39.30,36.90,37.15,37.932084735237294150,2434784,9839,92356433.00,987436,40.56,2.40,-0.20
20-January-2022,38.25,38.25,37.05,37.35,37.409050297759160432,582014,2361,21772591.00,131866,22.66,1.20,-0.90
19-January-2022,37.40,37.95,36.85,37.50,37.301163857403190948,967988,5307,36107079.00,300756,31.07,1.10,0.10
18-January-2022,38.95,39.10,37.30,37.45,37.909694347697065300,1344567,7300,50972124.00,509923,37.92,1.80,-1.50
17-January-2022,36.70,39.25,36.50,38.40,38.318484523369616173,3082357,14749,118111249.00,1353015,43.90,2.75,1.70
14-January-2022,35.70,37.10,35.65,36.35,36.472182258477173065,840345,3488,30649216.00,284375,33.84,1.45,0.65
13-January-2022,35.90,35.95,35.30,35.60,35.593881153315858850,528008,3481,18793854.00,231382,43.82,0.65,-0.30
12-January-2022,36.00,36.30,35.60,35.70,35.982320772634143809,327503,1735,11784318.00,127967,39.07,0.70,-0.30
11-January-2022,36.00,37.10,35.60,35.95,36.289303735098988527,1213676,4792,44043457.00,139196,11.47,1.50,-0.05
10-January-2022,35.65,36.15,35.55,35.95,35.878374502669151501,847273,4472,30398778.00,558283,65.89,0.60,0.30
7-January-2022,35.50,35.80,35.05,35.65,35.484988264692231380,454611,2286,16131866.00,124955,27.49,0.75,0.15
6-January-2022,34.30,35.65,34.30,35.20,35.114892646345983861,876775,3853,30787860.00,343300,39.15,1.35,0.90
5-January-2022,35.20,35.30,34.75,34.85,34.931457257017789428,628688,3412,21960988.00,276107,43.92,0.55,-0.35
4-January-2022,35.35,35.70,35.00,35.25,35.312190532336486442,671718,2030,23719834.00,136925,20.38,0.70,-0.10
3-January-2022,35.00,35.55,34.80,35.30,35.206212648125530268,858056,4218,30208902.00,420871,49.05,0.75,0.30
31-December-2021,33.75,34.90,33.75,34.75,34.278278358255215687,725935,3645,24883802.00,354382,48.82,1.15,1.00
30-December-2021,34.40,34.40,33.70,33.75,33.885032185101125510,387291,3086,13123368.00,189296,48.88,0.70,-0.65
29-December-2021,34.20,34.80,34.15,34.25,34.427056422859314200,405279,2570,13952563.00,147989,36.52,0.65,0.05
28-December-2021,33.75,34.55,33.75,34.20,33.966329396217064508,484280,2943,16449214.00,154248,31.85,0.80,0.45
27-December-2021,33.55,33.90,33.25,33.65,33.682979282118149878,441744,2967,14879254.00,151151,34.22,0.65,0.10
24-December-2021,34.40,34.45,33.30,33.85,33.818476496529584288,609293,3524,20605361.00,163700,26.87,1.15,-0.55
23-December-2021,34.45,34.45,34.05,34.15,34.218301506526451872,327973,2285,11222679.00,151771,46.28,0.40,-0.30
22-December-2021,34.50,34.50,33.60,34.05,33.934755344478539324,314156,1362,10660807.00,86750,27.61,0.90,-0.45
21-December-2021,33.50,34.10,33.30,33.50,33.827003407042479496,529785,1752,17921039.00,119056,22.47,0.80,0.00
20-December-2021,34.00,34.10,32.80,33.30,33.198652096904926300,666220,2262,22117606.00,182566,27.40,1.30,-0.70
17-December-2021,34.80,34.80,33.90,34.25,34.195668798759116789,370059,1829,12654415.00,94518,25.54,0.90,-0.55
